R,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29,T30,T31,T32,P0,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,T,P
1,0,0,0,2,0,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,4,0,4,4,0,4,4,0,0,0,0,4,0,0,0,4,0,0,0,0,0,5,4,4,4,000200330000200000000003020000000,000040444044044000040004000005444
0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,4,4,0,0,4,0,5,0,0,0,4,4,4,4,4,0,0,4,0,0,0,4,0,0,4,0,4,0,0,4,0,0,0,000000000002023200000000033000000,440040500044444004000400404004000
0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,3,0,0,4,0,4,4,4,0,4,0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,4,4,0,4,0,4,4,4,0,5,0,002030000000000020000003020000300,404440400004000000400044040444050
1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,4,4,0,0,0,4,0,0,0,4,0,0,5,0,4,4,0,0,4,0,0,4,0,4,4,4,4,0,0,4,0,0,000000002200003300000020000003000,044000400040050440040040444400400
1,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,4,4,0,0,4,0,5,4,0,0,0,4,4,0,4,4,0,0,0,4,0,4,0,4,4,0,4,0,0,0,0,0,203030000000000000000003000200200,044004054000440440004040440400000
1,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,4,5,0,4,4,4,0,0,0,4,0,4,4,4,0,0,0,0,0,4,4,0,4,000202000000020000300000303000000,004000400045044400040444000004404
0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,4,4,0,4,0,4,0,0,0,0,0,4,4,5,0,4,4,0,0,0,0,0,4,4,4,0,0,0,0,4,4,0,000002030030000200000000000300200,044040400000445044000004440000440
1,0,0,2,0,0,0,3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,0,4,0,4,4,4,0,0,0,4,4,4,4,0,5,0,0,4,0,002000300020200000000030000000300,000040004040400404440004444050040
0,0,0,2,0,0,3,0,0,0,0,0,0,2,3,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,4,0,4,0,4,0,5,0,4,4,0,0,0,0,0,4,0,4,4,0,0,0,4,0,4,0,4,4,0,0,0,0,002003000000230200000000000300000,440404050440000040440004040440000
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,2,0,0,3,3,0,0,0,2,0,0,0,0,4,0,4,0,0,0,0,4,0,0,4,4,4,5,4,0,4,0,0,0,4,4,4,0,0,0,4,0,0,4,0,0,000000000000002000300200330002000,040400004004445404000444000400400
0,0,0,0,0,0,0,3,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,4,0,4,4,0,4,4,4,0,4,0,4,0,0,0,0,0,4,0,0,0,0,0,0,4,5,4,4,0,4,0,000000320002020000000030003000000,004044044404040000040000004544040
0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,0,0,2,3,0,0,0,0,0,0,5,0,0,4,4,0,4,4,0,0,4,0,0,0,0,4,0,0,4,4,4,0,4,4,0,0,0,4,0,0,4,0,000000020000000003020003002300000,050044044004000040044404400040040
1,2,0,0,0,0,0,0,0,3,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,4,0,4,4,0,4,4,0,0,4,0,4,0,0,0,4,4,0,0,4,0,4,4,0,0,0,0,4,0,0,0,0,5,200000003000003200000000000003002,404404400404000440040440000400005
0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,3,0,0,0,0,2,0,0,0,2,0,0,4,0,4,0,4,4,0,4,4,4,0,0,0,5,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,4,4,4,4,000000020000300000030300002000200,404044044400050000000404000004444
0,3,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,4,4,4,4,5,0,4,0,0,0,0,4,4,0,0,0,0,0,4,0,0,0,4,0,4,0,4,0,300000022200000003000300000000000,400404444504000044000004000404040
0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,4,4,4,0,0,4,0,0,0,0,0,0,4,4,4,0,0,5,4,0,0,0,0,4,4,0,4,0,4,0,4,003200000000032000000000300200000,004440040000004440054000044040404
1,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,4,0,4,0,0,0,0,4,0,0,0,4,0,4,4,5,4,4,0,4,0,0,0,4,4,0,0,4,0,0,0,0,4,203020000000000002000030000000300,404000040004044544040004400400004
1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,3,3,0,4,0,4,4,0,0,4,0,0,0,0,0,0,4,0,4,0,4,0,4,5,4,0,4,4,0,0,0,0,0,4,4,0,000000030000200000020000200000330,404400400000040404045404400000440
1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,4,0,4,4,4,0,0,4,0,4,0,4,5,4,0,4,0,0,0,0,0,0,4,4,0,0,0,4,0,4,0,0,0,020002000000000020000030003300000,404440040404540400000044000404000
1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,3,0,2,0,4,0,4,0,4,4,0,4,0,5,4,4,0,0,0,0,0,0,4,0,4,4,0,0,0,0,4,0,0,0,4,0,4,000000030000300000020000000203020,404044040544000000404400004000404
